Category,Search keyword,merged_text,cleaned_text,text_translated,topic_id,topic_label
社會領域,社會議題,"「石破やめるなデモ」、社会運動を研究する社会学者はどう見たか？ わかりやすく解説／富永京子／『なぜ社会は変わるのか』／政治／社会学／民主主義／社会運動 
「音羽教養部」は、講談社のとある編集部に専門家のゲストを招いてお話をうかがう番組です。 今回のゲストは、立命館大学社会 ...",石破やめるなデモ 社会運動を研究する社会学者はどう見たか わかりやすく解説 富永京子 なぜ社会は変わるのか 政治 社会学 民主主義 社会運動 音羽教養部 は 講談社のとある編集部に専門家のゲストを招いてお話をうかがう番組です 今回のゲストは 立命館大学社会,不要停止Ishiba抗議研究社會運動的社會學家如何看待它 易於理解的解釋Tominaga Kyoko為什麼社會會改變 政治 社會學 民主 社會運動 奧託瓦文科部門邀請專家賓客與科丹薩的編輯部門交談 以聽取這個故事 這次 客人是Ritsumeikan University Society,1,1_羅_頻道_外國人_俄羅斯
社會領域,社會議題,"【少子化 社会問題 氷河期世代】未婚率急増で日本人絶滅。日本社会を蝕む絶望的現実。【ゆっくり 2ch 解説】 
Z世代の3分の1が結婚拒否。 もう誰も結婚できない。 経済破綻で恋愛終了。 日本人絶滅カウントダウン！ 少子化、就職氷河期 ...",少子化 社会問題 氷河期世代 未婚率急増で日本人絶滅 日本社会を蝕む絶望的現実 ゆっくり 2ch 解説 Z世代の3分の1が結婚拒否 もう誰も結婚できない 経済破綻で恋愛終了 日本人絶滅カウントダウン 少子化 就職氷河期,降低出生率的社會問題冰期產生未婚率的突然增加 使日本人以絕望的現實侵蝕日本社會慢慢地侵蝕日本社會2ch評論Z一代拒絕婚姻 沒有人可以結婚 這是由於經濟滅絕的倒數倒計時而下降,8,8_下降_出生率_結婚_慢慢
社會領域,社會議題,淺談（101.10）meme 與社會議題,淺談 101 10 meme 與社會議題,淺談101 10模因與社會議題,3,3_考試_線_居民_準備
社會領域,社會議題,"【少子化 社会問題 氷河期世代】増え続ける“生涯独身”。誰も危機感を持たない理由と独身者の悲惨な末路。【ゆっくり 2ch 解説】 
結婚できなかった人の後悔がリアルすぎる。 40代で襲われる強烈な孤独感。 少子化、就職氷河期世代、2025年問題について、 ...",少子化 社会問題 氷河期世代 増え続ける 生涯独身 誰も危機感を持たない理由と独身者の悲惨な末路 ゆっくり 2ch 解説 結婚できなかった人の後悔がリアルすぎる 40代で襲われる強烈な孤独感 少子化 就職氷河期世代 2025年問題について,降低的出生率社會問題冰期生成繼續增加單身生活 為什麼沒有人會感到危機感和單身慢慢的悲慘結局2ch評論 那些無法結婚的人的遺憾是一種實在是一種強烈的孤獨感 在40多歲的出生率下降 冰上就業冰期就業時代的生成大約是2025年,26,26_冰期_就業_時代_單身
社會領域,社會議題,"【2ch社会問題スレ】日本人増えないのに、外国人年35万人増w【ゆっくり解説】 
【限定絵文字】で盛り上げよう！メンバーシップ会員受付中！",2ch社会問題スレ 日本人増えないのに 外国人年35万人増w ゆっくり解説 限定絵文字 で盛り上げよう メンバーシップ会員受付中,2CH社會問題線程 不再有日本人增加 而是每年350 000名外國人大聲笑 慢慢評論 讓我們以有限的表情符號來激發這種興奮 會員成員現在被接受,30,30_50_X_彙_父親
社會領域,社會議題,"【2ch社会問題スレ】Z世代に水道水飲ませたら、大問題になったww【ゆっくり解説】 
【限定絵文字】で盛り上げよう！メンバーシップ会員受付中！",2ch社会問題スレ Z世代に水道水飲ませたら 大問題になったww ゆっくり解説 限定絵文字 で盛り上げよう メンバーシップ会員受付中,2CH社會問題線程 當我讓Z Gen Gen Drink自來水水時 這成為一個大問題 讓我們用悠閒的解釋來使生命的生命 會員成員現在被接受,29,29_幫助_生命_您_the
社會領域,社會議題,"【社会問題】女性管理職比率、過去最高でも“まだまだ少ない”現実 
日本企業における女性管理職の比率が、過去最高となる 10.9％ に達しました。 さらに、女性役員比率も 13.5％ と過去最高水準 ...",社会問題 女性管理職比率 過去最高でも まだまだ少ない 現実 日本企業における女性管理職の比率が 過去最高となる 10 9 に達しました さらに 女性役員比率も 13 5 と過去最高水準,社會問題 迄今為止 女性經理的比率仍然很低 即使這是有史以 來最高的 日本公司女性經理的比例達到了109創紀錄的最高水平 此外 迄今為止 女高管的比率也為135,8,8_下降_出生率_結婚_慢慢
社會領域,社會議題,"대한민국 민주주의 위기: 진실이 사라지고 있다 
한국 사회에서 민주와 공정이라는 단어가 어떻게 왜곡되고 있는지에 대한 심도 있는 분석을 제공합니다. 진실을 외면하는 정치인들의 ...",대한민국 민주주의 위기 진실이 사라지고 있다 한국 사회에서 민주와 공정이라는 단어가 어떻게 왜곡되고 있는지에 대한 심도 있는 분석을 제공합니다 진실을 외면하는 정치인들의,大韓民國民主危機的真相正在消失 在韓國社會中 在對民主和過程一詞如何扭曲的深入分析中,11,11_韓國_總統_特朗普_婦女
社會領域,社會議題,"La realidad de los adultos mayores 
En nuestra sociedad, los adultos mayores enfrentan constantemente discriminación y son objeto de insultos y críticas por su edad ...",La realidad de los adultos mayores En nuestra sociedad los adultos mayores enfrentan constantemente discriminación y son objeto de insultos y críticas por su edad,我們社會中老年人的現實不斷面臨歧視 並受到年齡的侮辱和批評,18,18_對_幫_毫無疑問_自己
社會領域,社會議題,"【少子化 社会問題 氷河期世代】結婚できない最大の理由。40代50代の教育費地獄が加速してヤバい！【ゆっくり 2ch 解説】 
結婚できない最大の理由。 教育費地獄がヤバすぎる。 年間400万円！2人の子供で家計崩壊の現実！ 少子化、就職氷河期 ...",少子化 社会問題 氷河期世代 結婚できない最大の理由 40代50代の教育費地獄が加速してヤバい ゆっくり 2ch 解説 結婚できない最大の理由 教育費地獄がヤバすぎる 年間400万円 2人の子供で家計崩壊の現実 少子化 就職氷河期,降低出生率的社會問題冰河時代的生成我們無法結婚40多歲和50多歲的人們的教育地獄的最大原因正在加速 這是危險的慢速2ch解釋我們不能結婚的最大原因是 教育的地獄太危險了400萬日元 這是一個家庭倒閉的現實 兩個孩子倒閉了 兩個孩子下降了出生率的就業冰期就業時代的冰期冰期就業時代的冰期冰期的就業冰期的就業冰期的就業冰期的就業時代的就業冰期的就業時代的冰期冰期的就業時代的就業冰期的就業時代的就業時代的就業率降低了冰期的冰期冰期的冰期就業時代的冰期冰期的就業時代的就業冰期的就業率降低了冰期的就業時間,26,26_冰期_就業_時代_單身
社會領域,社會議題,#时事评论  #社会议题#黄子佼 #台湾艺人 #艺人新闻 #演艺圈 #公众人物 #社会案件#台湾法律 #案件分析 #司法观察  #网络议题 #公众讨论 #青少年保护 #网络治理 #媒体焦点#今日话题,时事评论 社会议题 黄子佼 台湾艺人 艺人新闻 演艺圈 公众人物 社会案件 台湾法律 案件分析 司法观察 网络议题 公众讨论 青少年保护 网络治理 媒体焦点 今日话题,時事評論 社會議題 黃子佼 臺灣藝人 藝人新聞 演藝圈 公衆人物 社會案件 臺灣法律 案件分析 司法觀察 網絡議題 公衆討論 青少年保護 網絡治理 媒體焦點 今日話題,12,12_大罷免_國昌_黃_嗆
社會領域,社會議題,"ESG 社會問題：人權 
esg #人權#esg評級#sdgs 解讀ESG 中的人權當ESG 辜負人們時將人權置於商業核心.",ESG 社會問題 人權 esg 人權 esg評級 sdgs 解讀ESG 中的人權當ESG 辜負人們時將人權置於商業核心,ESG社會問題eSG人權eSg sdgs解讀eSG中的人權當eSg辜負人們時將人權置於商業核心,28,28_人權_ESG_財富_核心
社會領域,社會議題,"【少子化 社会問題 氷河期世代】男性の生涯未婚率30％時代へ。少子化よりヤバい男性の“生涯独身”化。【ゆっくり 2ch 解説】 
男性の3.5人に1人が生涯独身。 統計で見る男性の結婚離れ。 経済問題だけじゃない根深いワケがあった。 少子化、就職氷河期 ...",少子化 社会問題 氷河期世代 男性の生涯未婚率30 時代へ 少子化よりヤバい男性の 生涯独身 化 ゆっくり 2ch 解説 男性の3 5人に1人が生涯独身 統計で見る男性の結婚離れ 経済問題だけじゃない根深いワケがあった 少子化 就職氷河期,男性終生未婚30歲以下年齡的出生率下降 年齡的增長 男人的終身單身性比慢慢下降的出生率慢慢下降2CH評論3在5分之一中是統計中的終身終身 男性婚姻不僅是經濟問題 不僅是有根深蒂固的原因 而且不僅是經濟問題較低的出生率就業冰期就業冰期就業冰期就業冰期就業問題冰期就業問題,26,26_冰期_就業_時代_單身
社會領域,社會議題,"o grande PROBLEMA de Moçambique é... 
Comentador expõe os problemas de Moçambique. #shorts #viralshorts #CaixaNews.",o grande PROBLEMA de Moçambique é Comentador expõe os problemas de Moçambique shorts viralshorts CaixaNews,莫桑比克的大問題是評論員揭露了莫桑比克短褲Viralshorts Caixanews的問題,9,9_短褲_家庭暴力_病毒_醜聞
社會領域,社會議題,Ozempic: ¿Solución médica o presión social? #podcastdenutricion @RafaLopezDr,Ozempic Solución médica o presión social podcastdenutricion RafaLopezDr,Ozempic醫療解決方案或社會壓力PodcastDenutrion,20,20_得到_這裡_活動_支持
社會領域,社會議題,"[未来を変える一歩、今ここから]#社会問題 #格差 #貧困 #教育 #福祉　#社会的課題 #教育改革 #福祉活動 #貧困撲滅 #格差解消　#教育支援 #福祉施設 #社会起業家 #貧困地域支援 
急速に進む高齢化社会、環境問題、教育格差…。これらの社会問題は、あなたの生活にも影響を与えています。動画では、最新の ...",未来を変える一歩 今ここから 社会問題 格差 貧困 教育 福祉 社会的課題 教育改革 福祉活動 貧困撲滅 格差解消 教育支援 福祉施設 社会起業家 貧困地域支援 急速に進む高齢化社会 環境問題 教育格差 これらの社会問題は あなたの生活にも影響を与えています 動画では 最新の,未來を変える一歩 今ここから 社會問題 格差 貧困 教育 福祉 社會的課題 教育改革 福祉活動 貧困撲滅 格差解消 教育支援 福祉施設 社會起業家 貧困地域支援 急速に進む高齢化社會 環境問題 教育格差 これらの社會問題は あなたの生活にも影響を與えています 動畫では 最新の,27,27_の_選_教育_を
社會領域,社會議題,"社会問題ジジイ【ガサ入れ】「大阪や！」　#ai動画 #ai #aivideo #aishorts #おもしろ動画 　#aiジジイ #oosaka  #aiyoutuber 
社会問題ジジイ【ガサ入れ】「大阪や！」 ご視聴いただきありがとうございます 良ければチャンネル登録・高評価宜しくお願いし ...",社会問題ジジイ ガサ入れ 大阪や ai動画 ai aivideo aishorts おもしろ動画 aiジジイ oosaka aiyoutuber 社会問題ジジイ ガサ入れ 大阪や ご視聴いただきありがとうございます 良ければチャンネル登録・高評価宜しくお願いし,社會問題老人 大阪絆倒和AI視頻ai ai ai ai ai aishors有趣的視頻Ai老人 Oosaka aiyoutuber社會問題老人 在大阪跌跌撞撞 感謝您的觀看 如果願意 請訂閱頻道並給我們高評分,2,2_AI_歌曲_最新_音樂
社會領域,社會議題,#中国社会百态 #中国社会問題  #中国新聞   #中国熱門 ｜銀小玲,中国社会百态 中国社会問題 中国新聞 中国熱門 銀小玲,中國社會百態 中國社會問題 中國新聞 中國熱門 銀小玲,19,19_中國_百態_奇聞_社會
社會領域,社會議題,"其實兩岸關係只有一個問題，就是戶籍問題，不存在國籍問題。 
兩岸關係核心在戶籍，不涉國籍爭議。 #兩岸關係#戶籍問題#國籍爭議#台灣大陸#兩岸交流#政策探討#台灣議題#社會觀察#政治 ...",其實兩岸關係只有一個問題 就是戶籍問題 不存在國籍問題 兩岸關係核心在戶籍 不涉國籍爭議 兩岸關係 戶籍問題 國籍爭議 台灣大陸 兩岸交流 政策探討 台灣議題 社會觀察 政治,其實兩岸關係只有一個問題 就是戶籍問題 不存在國籍問題 兩岸關係核心在戶籍 不涉國籍爭議 兩岸關係 戶籍問題 國籍爭議 臺灣大陸 兩岸交流 政策探討 臺灣議題 社會觀察 政治,22,22_臺_歷史_灣_重要
社會領域,社會議題,"李昂探討性別、社會議題！取材自醜聞卻成為醜聞主角！【#真情指數】完整版｜#蔡康永 #李昂 
李昂探討性別、社會議題！取材自醜聞卻成為醜聞主角！【#真情指數】完整版｜#蔡康永#李昂#優選頻道#蔡康永#李昂#真情指數# ...",李昂探討性別 社會議題 取材自醜聞卻成為醜聞主角 真情指數 完整版 蔡康永 李昂 李昂探討性別 社會議題 取材自醜聞卻成為醜聞主角 真情指數 完整版 蔡康永 李昂 優選頻道 蔡康永 李昂 真情指數,李昂探討性別 社會議題 取材自醜聞卻成為醜聞主角 真情指數 完整版 蔡康永 李昂 李昂探討性別 社會議題 取材自醜聞卻成為醜聞主角 真情指數 完整版 蔡康永 李昂 優選頻道 蔡康永 李昂 真情指數,12,12_大罷免_國昌_黃_嗆
社會領域,社會議題,"你不快樂不是因為窮，而是社會太不平等：《The Spirit Level》《社會不平等》重點整理 
Chapters: 00:00 開場故事：關鍵其實不是貧窮，而是不平等00:02:35 不只是窮人受苦，整個社會都會被拖下水00:05:11 當壓力成為 ...",你不快樂不是因為窮 而是社會太不平等 The Spirit Level 社會不平等 重點整理 Chapters 00 00 開場故事 關鍵其實不是貧窮 而是不平等00 02 35 不只是窮人受苦 整個社會都會被拖下水00 05 11 當壓力成為,你不快樂不是因為窮 而是社會太不平等 The Spirit Level 社會不平等 重點整理 Chapters 00 00 開場故事 關鍵其實不是貧窮 而是不平等00 02 35 不只是窮人受苦 整個社會都會被拖下水00 05 11 當壓力成為,14,14_00_0_與_重點
社會領域,社會議題,"【少子化 社会問題 氷河期世代】高学歴女性の結婚観がヤバすぎる！その裏にある絶望的な現実とは…。【ゆっくり 2ch 解説】 
大卒女性の30代結婚率が衝撃的！ 専業主婦になりたい女性が急増中。 その裏にある絶望的な現実とは…。 少子化、就職氷河期 ...",少子化 社会問題 氷河期世代 高学歴女性の結婚観がヤバすぎる その裏にある絶望的な現実とは ゆっくり 2ch 解説 大卒女性の30代結婚率が衝撃的 専業主婦になりたい女性が急増中 その裏にある絶望的な現実とは 少子化 就職氷河期,女性30多歲的出生率下降令人震驚 想要成為全日製家庭主婦的30多歲女性的出生率下降 背後的絕望現實是什麼,8,8_下降_出生率_結婚_慢慢
社會領域,社會議題,"中田の決断！ジャニーズ問題への恐怖 
社会問題 #沈黙は共犯 #ジャニーズ #中田敦彦 #中田敦彦のyoutube大学 本編はこちら https://youtu.be/jY9Gbx1W0Mo YouTube ...",中田の決断 ジャニーズ問題への恐怖 社会問題 沈黙は共犯 ジャニーズ 中田敦彦 中田敦彦のyoutube大学 本編はこちら YouTube,中田的決定 對約翰尼問題的恐懼社會問題 沉默是同夥約翰尼 nakata atsushi nakata atsushi atsushi的YouTube大學 請單擊此處 以獲取主要故事的主要故事YouTube,15,15_Aoyama_議員眾_議院_atsushi
社會領域,社會議題,"小红书 Marni看电影 #rednote #社会议题 
2025年7月23日，牛仔裤品牌american eagle发布了一则充满争议的广告，其主角悉尼妹（sydney sweeney）不断重复“基因、蓝眼” ...",小红书 Marni看电影 rednote 社会议题 2025年7月23日 牛仔裤品牌american eagle发布了一则充满争议的广告 其主角悉尼妹 sydney sweeney 不断重复 基因 蓝眼,小紅書 Marni看電影 rednote 社會議題 2025年7月23日 牛仔褲品牌american eagle發布了一則充滿爭議的廣告 其主角悉尼妹 sydney sweeney 不斷重複 基因 藍眼,9,9_短褲_家庭暴力_病毒_醜聞
社會領域,社會議題,#中国社会問題 #中国社会百态 #中国新闻时事  #中国熱門 ｜銀小玲｜銀小玲阅闻｜,中国社会問題 中国社会百态 中国新闻时事 中国熱門 銀小玲 銀小玲阅闻,中國社會問題 中國社會百態 中國新聞時事 中國熱門 銀小玲 銀小玲閱聞,19,19_中國_百態_奇聞_社會
社會領域,社會議題,"將人權置於商業核心 (ESG 社會問題：人權) 
esg #人權#esg評級#sdgs.",將人權置於商業核心 ESG 社會問題 人權 esg 人權 esg評級 sdgs,將人權置於商業核心ESG社會問題人權ESG人權ESG評級sdgs,28,28_人權_ESG_財富_核心
社會領域,社會議題,#中国社会百态 #中国社会問題  #中国新聞   #中国熱門 ｜銀小玲,中国社会百态 中国社会問題 中国新聞 中国熱門 銀小玲,中國社會百態 中國社會問題 中國新聞 中國熱門 銀小玲,19,19_中國_百態_奇聞_社會
社會領域,社會議題,"Helpnes 🥹 || #help #helpinghands #viralvideos #becomehelper #helpingothers #helpthemfoundation 
Helpnes || #help #helpinghands #viralvideos #becomehelper #helpingothers #helpthemfoundation गरीबी एक ...",Helpnes help helpinghands viralvideos becomehelper helpingothers helpthemfoundation Helpnes help helpinghands viralvideos becomehelper helpingothers helpthemfoundation गर ब एक,Helpnes幫助Hands Viralvideos成為HELPER HEALPERSHESKOTHERS HESSOBOTHLE幫助幫助幫助幫助手動Viralvideos成為Hephelper 幫助他人幫助他人幫助回應,29,29_幫助_生命_您_the
社會領域,社會議題,"Women in Pink Flood Newcastle Streets – Peaceful Protest Stuns the City 
In Newcastle today, a group of ladies dressed in pink turned heads as they joined a peaceful protest in the city centre.",Women in Pink Flood Newcastle Streets Peaceful Protest Stuns the City In Newcastle today a group of ladies dressed in pink turned heads as they joined a peaceful protest in the city centre,紐卡斯爾粉紅色洪水街上的婦女和平抗議 今天紐卡斯爾的城市震驚了一羣穿著粉紅色的女士 他們加入了市中心的和平抗議,6,6_受害者_騷擾_虐待_學校
社會領域,社會議題,"As a university, is your federal funding more important to you than your woke social causes? 
""If you're a university and you're so concerned about funding for research, why are you digging in your heels and dying on the hill ...",As a university is your federal funding more important to you than your woke social causes If you re a university and you re so concerned about funding for research why are you digging in your heels and dying on the hill,因為一所大學對您的資金對您來說比喚醒的社交事業更重要 如果您是一所大學 並且您非常關心研究資金 為什麼您要挖掘高跟鞋並在山上垂死,29,29_幫助_生命_您_the
社會領域,社會議題,"「セルフレジ万引き」社会問題化してしまう→その手口がヤバすぎる #2chまとめ 
2ちゃんまとめ #2ch面白いスレ #5ch.",セルフレジ万引き 社会問題化してしまう その手口がヤバすぎる 2chまとめ 2ちゃんまとめ 2ch面白いスレ 5ch,自我檢查入店行竊 此技術已成為一個社會問題 太危險了2ch摘要2CH摘要2ch有趣的線程5CH,0,0_犯罪_製_爾_重新
社會領域,社會議題,"那年台灣漁船被海盜劫持571天!船長和船員靠大陸軍艦營救..曝台灣國際困境 #阿比妹妹 #shorts #台灣大搜索 ‪‪‪@台灣大搜索CtiCSI 
那一年他只是想出海捕魚賺錢，卻慘遭索馬利亞海盜綁架，571天生不如死的煎熬，只為了活著回家。台灣船長吳朝義，帶領26名 ...",那年台灣漁船被海盜劫持571天 船長和船員靠大陸軍艦營救 曝台灣國際困境 阿比妹妹 shorts 台灣大搜索 台灣大搜索CtiCSI 那一年他只是想出海捕魚賺錢 卻慘遭索馬利亞海盜綁架 571天生不如死的煎熬 只為了活著回家 台灣船長吳朝義 帶領26名,那年臺灣漁船被海盜劫持571天 船長和船員靠大陸軍艦營救 曝臺灣國際困境 阿比妹妹 shorts 臺灣大搜索 臺灣大搜索CtiCSI 那一年他只是想出海捕魚賺錢 卻慘遭索馬利亞海盜綁架 571天生不如死的煎熬 只為了活著回家 臺灣船長吳朝義 帶領26名,22,22_臺_歷史_灣_重要
社會領域,社會議題,"急増する難民・移民で社会にどんな問題が生じる？ #shorts 
文化摩擦・雇用格差・差別偏見・インフラ負担・治安不安・行政課題など、難民や移民流入による社会的問題に注目。多様性と ...",急増する難民・移民で社会にどんな問題が生じる shorts 文化摩擦・雇用格差・差別偏見・インフラ負担・治安不安・行政課題など 難民や移民流入による社会的問題に注目 多様性と,隨著難民和移民數量迅速增加 社會將出現什麼樣的問題,10,10_增加_案件_急速_數量
社會領域,社會議題,&#39;Overvallen wat hier is gebeurd&#39; #Crowdfunding #wijeisendenachtop #veilig,39 Overvallen wat hier is gebeurd 39 Crowdfunding wijeisendenachtop veilig,39搶劫39眾籌Wijeisenachtop Veilig,0,0_犯罪_製_爾_重新
社會領域,社會議題,"You Won&#39;t Believe Where People Live The Untold Homeless Crisis #homelessness #shortdocumentary 
This fast-paced YouTube Shorts exposes the untold homeless crisis in forgotten places — from hidden urban encampments to ...",You Won 39 t Believe Where People Live The Untold Homeless Crisis homelessness shortdocumentary This fast paced YouTube Shorts exposes the untold homeless crisis in forgotten places from hidden urban encampments to,您會不會39歲 相信人們在哪裡生活的無家可歸無家可歸的危機無家可歸的無家可歸紀錄片 YouTube短暫的短褲揭露,26,26_冰期_就業_時代_單身
